First Name,Last Name,Gender,E Mail,Date of Birth,Date of Joining,Salary,Last % Hike,Zip
Valerie,Burge,F,valerie.burge@aol.com,9/6/1961,10/8/1999,161154,14%,54744
Isidro,Estepp,M,isidro.estepp@yahoo.com,7/17/1973,11/13/1998,61945,24%,48227
Chuck,Mcafee,M,chuck.mcafee@earthlink.net,1/14/1977,4/29/2016,108741,2%,76795
Jacques,Chick,M,jacques.chick@yahoo.com,2/22/1995,1/22/2020,190846,0%,18938
Florencio,Varnell,M,florencio.varnell@gmail.com,6/21/1979,3/21/2008,67060,22%,70437
Delmer,Tillman,M,delmer.tillman@gmail.com,4/9/1965,7/22/2004,100827,10%,61434
Carrol,Tinker,M,carrol.tinker@microsoft.com,6/12/1985,9/17/2016,122292,27%,15679
Shayne,Shaffer,M,shayne.shaffer@yahoo.com,2/1/1998,3/3/2020,119606,24%,66675
Don,Thorne,M,don.thorne@gmail.com,12/12/1974,4/15/2000,92536,9%,45653
Fae,Jeppesen,F,fae.jeppesen@yahoo.com,3/1/1996,9/2/2017,149128,5%,2825
Octavia,Poitra,F,octavia.poitra@yahoo.com,6/7/1972,10/29/2011,123209,24%,28319
Nelia,Saul,F,nelia.saul@gmail.com,9/12/1989,8/31/2019,199394,27%,67341
Na,Minnick,F,na.minnick@gmail.com,9/15/1981,1/1/2016,125558,25%,75134
Breann,Alonso,F,breann.alonso@walmart.com,10/11/1978,12/4/2004,72913,16%,66945
Thaddeus,Noggle,M,thaddeus.noggle@gmail.com,6/14/1969,1/9/2013,163300,3%,31638
Jimmie,Pillar,F,jimmie.pillar@rediffmail.com,4/10/1980,3/30/2005,44786,30%,36031
Shandi,Perrigo,F,shandi.perrigo@walmart.com,6/25/1975,3/24/2007,92387,13%,88267
Houston,Langston,M,houston.langston@gmail.com,7/23/1967,12/6/1992,103402,3%,96052
Lucius,Dengler,M,lucius.dengler@ibm.com,10/31/1998,6/5/2020,158901,16%,60567
Theresia,Guerrette,F,theresia.guerrette@charter.net,11/5/1975,2/22/2012,156772,20%,14430
Claire,Deaton,F,claire.deaton@earthlink.net,8/5/1971,9/12/2009,140064,26%,30277
Gustavo,Yedinak,M,gustavo.yedinak@gmail.com,6/16/1983,11/14/2015,129474,21%,36611
Ina,Becerra,F,ina.becerra@yahoo.com,4/26/1976,9/29/2010,93382,12%,79061
Rashad,Tipton,M,rashad.tipton@comcast.net,9/2/1997,10/21/2018,195242,13%,61466
Milford,Stegman,M,milford.stegman@gmail.com,6/26/1966,10/10/1987,58910,27%,72421
Louis,Ison,M,louis.ison@gmail.com,6/12/1994,3/23/2020,150160,2%,70754
Ula,Quintero,F,ula.quintero@gmail.com,6/5/1964,7/29/1985,99643,6%,74112
Joellen,Briceno,F,joellen.briceno@gmail.com,10/17/1984,2/5/2016,171496,6%,81033
Wilber,Rodrigez,M,wilber.rodrigez@gmail.com,3/6/1996,6/18/2018,185031,27%,22726
Nick,Rosado,M,nick.rosado@microsoft.com,12/23/1973,1/10/2003,127151,1%,10265
Breana,Loughran,F,breana.loughran@gmail.com,1/21/1997,5/26/2020,102617,15%,54931
Rich,Mei,M,rich.mei@gmail.com,6/8/1969,2/4/2006,80739,4%,92024
Thomasine,Bode,F,thomasine.bode@rediffmail.com,11/22/1960,10/11/2015,102809,28%,94127
Joan,Mcauley,M,joan.mcauley@yahoo.com,6/5/1998,1/24/2020,197292,20%,70529
Doria,Bone,F,doria.bone@msn.com,1/14/1982,1/3/2018,141766,21%,56576
Trenton,Lilly,M,trenton.lilly@walmart.com,7/20/1979,8/16/2018,54582,14%,28359
Elenor,Mcarthur,F,elenor.mcarthur@gmail.com,4/27/1995,2/25/2019,107412,19%,40356
Jon,Mullinax,M,jon.mullinax@gmail.com,9/26/1993,2/4/2019,125084,1%,23207
Russell,Rawls,M,russell.rawls@yahoo.co.uk,6/17/1993,7/12/2018,93583,14%,44108
Marion,Fermin,M,marion.fermin@earthlink.net,5/13/1980,7/16/2001,73543,19%,57778
Kiersten,Losey,F,kiersten.losey@gmail.com,5/26/1981,9/26/2007,147287,22%,36621
Luigi,Corbett,M,luigi.corbett@ibm.com,10/11/1988,5/5/2012,75186,29%,35220
Woodrow,Tellis,M,woodrow.tellis@gmail.com,5/7/1979,12/28/2016,74095,8%,1471
Annika,Coolidge,F,annika.coolidge@shaw.ca,10/31/1971,10/3/2002,199546,30%,78670
Sueann,Rawley,F,sueann.rawley@hotmail.com,7/29/1996,8/7/2018,86662,23%,77865
Ilana,Hodgdon,F,ilana.hodgdon@yahoo.co.uk,12/7/1978,3/3/2018,144914,0%,21144
Scottie,Netto,M,scottie.netto@gmail.com,1/11/1976,1/2/1998,81359,1%,37097
Tamra,Pauls,F,tamra.pauls@yahoo.ca,2/9/1969,5/28/1998,48420,7%,12903
Austin,Vandeventer,M,austin.vandeventer@walmart.com,6/23/1982,9/12/2016,168047,23%,95641
Marylynn,Terrell,F,marylynn.terrell@gmail.com,7/16/1984,8/5/2014,96736,30%,4631
Jaimie,Flack,F,jaimie.flack@hotmail.com,9/23/1971,2/22/2013,157961,6%,92701
Rueben,Curren,M,rueben.curren@comcast.net,2/9/1983,12/24/2010,62402,16%,87028
Mariella,Baade,F,mariella.baade@msn.com,4/10/1998,1/10/2020,74732,19%,30458
Tawanna,Milo,F,tawanna.milo@gmail.com,6/14/1992,12/29/2019,90781,13%,41560
Janyce,Babich,F,janyce.babich@yahoo.com,1/4/1965,3/15/2003,113521,2%,27311
Trevor,Stidham,M,trevor.stidham@gmail.com,1/1/1962,6/1/1993,102636,19%,79764
Cedric,Cunningham,M,cedric.cunningham@gmail.com,4/28/1967,3/7/1990,113291,10%,57229
Wyatt,Stacey,M,wyatt.stacey@yahoo.co.in,7/5/1975,12/26/2005,177332,12%,18013
Roberto,Klapper,M,roberto.klapper@ibm.com,4/19/1984,4/18/2015,87190,6%,25966
Emmanuel,Debnam,M,emmanuel.debnam@comcast.net,8/22/1966,11/3/2009,161669,13%,85227
Clark,Caffey,M,clark.caffey@aol.com,7/2/1969,6/20/2010,196077,20%,78075
Miguel,Rittenberry,M,miguel.rittenberry@yahoo.com,12/27/1989,3/1/2013,149328,18%,30314
Joyce,Rameriz,F,joyce.rameriz@hotmail.co.uk,5/28/1990,12/25/2017,190150,8%,1081
Joshua,Hawes,M,joshua.hawes@gmail.com,2/18/1995,3/30/2017,155956,15%,20195
Gwen,Stricklin,F,gwen.stricklin@aol.com,11/8/1987,10/3/2010,143723,1%,20754
Karolyn,Ryland,F,karolyn.ryland@hotmail.com,3/24/1961,5/1/2007,74863,23%,16342
Un,Pass,F,un.pass@comcast.net,12/25/1973,12/21/2017,188112,29%,87556
Leigh,Leong,M,leigh.leong@gmail.com,5/20/1963,10/3/2019,78358,6%,20862
Walter,Michaels,M,walter.michaels@sbcglobal.net,1/20/1967,5/11/1998,187648,25%,24312
Rodger,Cogdill,M,rodger.cogdill@gmail.com,12/15/1975,10/8/2008,69692,2%,25150
Thelma,Mcalpine,F,thelma.mcalpine@gmail.com,1/7/1975,6/16/2011,183821,12%,49430
Mitchell,Breslin,M,mitchell.breslin@shaw.ca,5/24/1997,11/18/2019,190645,25%,55783
Lorina,Lamotte,F,lorina.lamotte@hotmail.com,10/21/1988,6/11/2013,72546,12%,63090
Gregorio,Welter,M,gregorio.welter@hotmail.com,12/16/1989,5/31/2017,109722,6%,38126
Kandace,Purnell,F,kandace.purnell@apple.com,5/20/1985,10/20/2006,59552,16%,72131
Dorothea,Tindle,F,dorothea.tindle@apple.com,1/21/1985,3/12/2012,135988,0%,26615
Roland,Fulford,M,roland.fulford@hotmail.co.uk,7/6/1979,4/11/2008,118898,5%,46123
Lauren,Dejong,M,lauren.dejong@yahoo.co.in,7/5/1964,10/21/2007,43516,6%,61849
Socorro,Carrasquillo,F,socorro.carrasquillo@comcast.net,4/30/1968,12/17/2002,79613,0%,66753
Bert,Brough,M,bert.brough@gmail.com,5/21/1985,8/8/2009,171469,16%,40031
Royce,Stetson,M,royce.stetson@aol.com,8/18/1963,8/15/1987,85464,5%,90020
Elly,Shuffler,F,elly.shuffler@gmail.com,10/21/1963,5/24/2019,124797,28%,30266
Shanta,Grose,F,shanta.grose@exxonmobil.com,11/25/1994,1/23/2020,92842,1%,70510
Lucio,Jepsen,M,lucio.jepsen@bellsouth.net,3/8/1975,12/5/2004,40573,4%,45311
Jae,Tolle,M,jae.tolle@bp.com,3/22/1966,8/27/2020,151783,10%,43164
Tamar,Parmer,F,tamar.parmer@verizon.net,7/25/1979,7/4/2016,144941,17%,92163
Eddy,Carley,M,eddy.carley@aol.com,8/4/1990,10/31/2016,55106,26%,44431
Wilhelmina,Huckins,F,wilhelmina.huckins@shell.com,6/12/1985,8/31/2019,125694,27%,11593
Nikita,Gullett,F,nikita.gullett@yahoo.co.in,6/22/1993,6/11/2015,180679,29%,78767
Romeo,Keesler,M,romeo.keesler@yahoo.co.in,6/30/1989,11/25/2013,45480,16%,29432
Heriberto,Stilson,M,heriberto.stilson@gmail.com,9/6/1988,1/18/2015,111807,0%,71722
Myron,Noah,M,myron.noah@yahoo.com,12/18/1964,4/3/1999,80630,15%,23175
Meryl,Gray,F,meryl.gray@gmail.com,3/25/1974,11/14/2008,140754,2%,4749
Tyson,Stout,M,tyson.stout@exxonmobil.com,10/20/1976,8/10/2006,90606,14%,45871
Pat,Magill,M,pat.magill@gmail.com,11/3/1993,3/11/2019,80376,10%,67030
Joana,Albury,F,joana.albury@hotmail.co.uk,9/6/1994,8/12/2020,63085,3%,3238
Bryon,Goods,M,bryon.goods@microsoft.com,5/9/1974,8/21/2009,88894,20%,32511
Sol,Mitchel,M,sol.mitchel@hotmail.com,8/14/1988,8/12/2018,119662,21%,73121
Carlton,Evatt,M,carlton.evatt@shaw.ca,8/13/1962,11/9/1990,92777,27%,66209
Earlean,Atkin,F,earlean.atkin@gmail.com,5/14/1995,11/3/2017,87173,5%,93463
Buster,Broxton,M,buster.broxton@shaw.ca,5/16/1982,3/9/2014,192765,19%,19415
Shery,Ransdell,F,shery.ransdell@exxonmobil.com,8/16/1999,8/11/2020,119652,18%,67831
Lakia,Hovey,F,lakia.hovey@yahoo.com,11/4/1978,3/24/2018,158003,4%,32715
Wen,Lebouef,F,wen.lebouef@gmail.com,12/19/1980,5/18/2018,55909,23%,59730
Cody,Usry,M,cody.usry@verizon.net,12/6/1967,7/28/2006,153313,4%,32421
Kurt,Harness,M,kurt.harness@gmail.com,6/20/1970,6/19/2011,197734,19%,13418
Nerissa,Holmberg,F,nerissa.holmberg@gmail.com,4/24/1961,9/27/2003,84579,19%,47283
Clayton,Vannorman,M,clayton.vannorman@aol.com,3/4/1961,4/17/1995,153719,26%,1760
Myriam,Manley,F,myriam.manley@gmail.com,3/26/1979,3/12/2003,107268,11%,73832
Madelaine,Zirkle,F,madelaine.zirkle@gmail.com,3/25/1984,12/22/2016,113721,9%,4024
Jude,Phoenix,M,jude.phoenix@aol.com,1/29/1995,11/17/2016,83063,18%,27405
Fletcher,Labounty,M,fletcher.labounty@shell.com,11/24/1960,3/19/1994,158931,8%,28641
Delinda,Barmore,F,delinda.barmore@hotmail.com,8/28/1967,1/12/2009,129639,13%,70426
Stuart,Carone,M,stuart.carone@gmail.com,1/16/1993,3/28/2017,132584,16%,73522
Werner,Louden,M,werner.louden@outlook.com,3/4/1961,5/12/1997,128543,2%,3904
Damion,Sprenger,M,damion.sprenger@outlook.com,10/24/1961,1/5/2010,76283,13%,83403
Silvia,Gills,F,silvia.gills@gmail.com,2/19/1963,5/11/1992,96217,9%,67355
Hans,Hornsby,M,hans.hornsby@gmail.com,7/3/1993,4/14/2018,156952,7%,82434
Nicky,Robertson,M,nicky.robertson@verizon.net,11/3/1984,11/20/2006,163137,6%,87539
Ryann,Sickler,F,ryann.sickler@cox.net,10/24/1960,10/8/1992,169417,17%,35551
Devorah,Rodiguez,F,devorah.rodiguez@cox.net,9/23/1976,7/31/2010,66074,14%,98140
Micheal,Oddo,F,micheal.oddo@sbcglobal.net,3/13/1968,6/30/2020,179606,3%,4742
Broderick,Luebbert,M,broderick.luebbert@hotmail.com,4/26/1987,10/28/2017,178495,19%,49782
Mabel,Tarver,F,mabel.tarver@earthlink.net,7/8/1989,4/9/2011,73380,10%,47541
Ivan,Penley,M,ivan.penley@gmail.com,2/15/1981,8/22/2006,64065,12%,71920
Roderick,Marble,M,roderick.marble@hotmail.com,2/21/1983,10/26/2004,135986,25%,65543
Emily,Stembridge,F,emily.stembridge@shaw.ca,2/17/1978,8/27/2004,178300,9%,46504
Arthur,Laguerre,M,arthur.laguerre@hotmail.com,10/28/1977,7/11/2020,187131,11%,41626
Burl,Hector,M,burl.hector@gmail.com,2/10/1969,3/22/2000,63323,16%,60192
Brandy,Logston,F,brandy.logston@cox.net,6/3/1973,1/23/2001,116688,4%,81054
Santa,Trojanowski,F,santa.trojanowski@gmail.com,8/28/1996,8/24/2017,180764,16%,94088
Danial,Shifflett,M,danial.shifflett@aol.com,4/24/1968,6/8/1997,66027,8%,40019
Vannesa,Bittinger,F,vannesa.bittinger@gmail.com,1/23/1973,2/25/2016,167765,9%,13069
Colton,Ogara,M,colton.ogara@yahoo.com,7/13/1996,9/25/2019,139964,22%,95023
George,Lymon,F,george.lymon@gmail.com,9/14/1975,11/18/2012,101131,8%,21685
Natacha,Garrido,F,natacha.garrido@gmail.com,10/20/1979,3/2/2019,54338,25%,33132
Nicholas,Pietsch,M,nicholas.pietsch@gmail.com,6/30/1967,1/4/1995,194588,20%,10179
Rosalind,Marasco,F,rosalind.marasco@comcast.net,1/12/1979,4/13/2011,124222,26%,72820
Whitney,Leduc,M,whitney.leduc@verizon.net,10/31/1994,12/29/2018,154177,16%,83223
Sallie,Ohler,F,sallie.ohler@gmail.com,11/16/1987,3/15/2013,77739,13%,87036
Lesa,Roll,F,lesa.roll@gmail.com,7/4/1966,2/18/2016,96770,20%,40593
Myrna,Hsieh,F,myrna.hsieh@gmail.com,11/19/1969,1/22/2006,60526,13%,43023
Shad,Grey,M,shad.grey@yahoo.com,1/24/1988,1/24/2015,176709,9%,91778
Wally,Wittrock,M,wally.wittrock@charter.net,5/5/1983,5/10/2017,75807,28%,60664
Sha,Malkin,F,sha.malkin@yahoo.com,4/29/1965,8/25/2009,105572,9%,27515
Emery,Spradley,M,emery.spradley@gmail.com,1/28/1965,2/6/2000,65098,15%,67869
Chong,Castorena,M,chong.castorena@earthlink.net,3/18/1997,7/19/2019,110064,10%,62279
Fatima,Maskell,F,fatima.maskell@gmail.com,9/21/1991,9/1/2018,154532,9%,40175
Robbie,Riffle,M,robbie.riffle@gmail.com,10/4/1998,3/6/2020,113034,23%,2298
Eartha,Vito,F,eartha.vito@hotmail.co.uk,1/28/1966,11/28/2007,151814,19%,49751
Francisco,Miele,M,francisco.miele@yahoo.co.uk,6/27/1996,3/12/2018,42611,22%,55967
Debbie,Villatoro,F,debbie.villatoro@bp.com,10/22/1975,10/7/2010,138803,3%,30450
Armand,Schreier,M,armand.schreier@gmail.com,10/21/1965,3/20/2004,54478,21%,31643
Amira,Polzin,F,amira.polzin@aol.com,4/25/1999,7/11/2020,44707,26%,10119
Joaquin,Gaspar,M,joaquin.gaspar@yahoo.com,12/12/1989,3/3/2018,132252,3%,46405
Giovanni,Wegman,M,giovanni.wegman@gmail.com,2/1/1972,8/25/2020,124920,27%,62247
Erin,Winslow,M,erin.winslow@hotmail.com,12/16/1960,4/13/1983,171009,29%,7501
Pamella,Bounds,F,pamella.bounds@shaw.ca,10/11/1979,8/18/2009,150468,24%,81081
Rudolf,Hinerman,M,rudolf.hinerman@yahoo.com,12/29/1991,10/1/2016,88917,19%,34973
Johana,Klahn,F,johana.klahn@charter.net,4/13/1993,7/15/2017,113089,22%,2563
Lauren,Stokes,F,lauren.stokes@exxonmobil.com,11/15/1981,7/17/2015,192010,12%,38674
Krishna,Keely,F,krishna.keely@comcast.net,5/9/1964,2/24/1993,170940,23%,50447
Demarcus,Jessen,M,demarcus.jessen@ibm.com,12/3/1968,3/10/2007,137070,28%,47940
Zana,Haldeman,F,zana.haldeman@yahoo.co.uk,12/2/1969,9/14/2019,159921,11%,25926
Marion,Oja,F,marion.oja@gmail.com,11/6/1987,12/21/2010,157648,3%,68757
Minerva,Luna,F,minerva.luna@aol.com,6/6/1976,6/5/2012,155627,20%,10242
Fletcher,Satchell,M,fletcher.satchell@aol.com,5/5/1975,7/5/2002,98204,8%,39087
Kurtis,Haines,M,kurtis.haines@gmail.com,9/1/1964,4/11/1987,90932,13%,41522
Stephany,Bloch,F,stephany.bloch@aol.com,3/29/1997,7/6/2019,161371,24%,62948
Sabina,Mcgahan,F,sabina.mcgahan@exxonmobil.com,5/31/1986,12/28/2013,154187,15%,68343
Christie,Billy,F,christie.billy@sbcglobal.net,10/2/1978,8/16/2011,113345,10%,83123
Carrol,Plata,M,carrol.plata@microsoft.com,12/14/1996,12/27/2019,53048,20%,85233
Lyman,Sherrell,M,lyman.sherrell@outlook.com,1/21/1990,8/21/2018,132405,9%,14645
Danilo,Chapa,M,danilo.chapa@sbcglobal.net,3/11/1970,1/11/1995,68933,23%,85225
Blake,Chason,M,blake.chason@gmail.com,1/4/1996,8/4/2019,125550,20%,84783
Lupita,Albino,F,lupita.albino@yahoo.com,7/4/1984,5/17/2019,147099,25%,19547
Nolan,Casey,M,nolan.casey@gmail.com,5/21/1966,9/22/2002,138263,19%,26764
Kym,Lamoureux,F,kym.lamoureux@yahoo.com,8/6/1967,1/25/2020,187339,13%,28610
Corene,Bottorff,F,corene.bottorff@hotmail.com,11/2/1995,1/17/2019,42405,26%,69165
Joe,Wear,M,joe.wear@msn.com,9/12/1996,10/7/2019,100319,20%,19139
Francesco,Matthias,M,francesco.matthias@yahoo.com,11/28/1965,4/12/2020,87233,0%,44393
Brendan,Tibbitts,M,brendan.tibbitts@hotmail.com,12/19/1984,11/5/2006,154528,26%,87120
Chris,Hand,M,chris.hand@btinternet.com,4/18/1996,4/8/2018,98532,27%,92307
Jenee,Poplar,F,jenee.poplar@walmart.com,3/20/1962,7/8/1986,98853,28%,94297
Britta,Yelverton,F,britta.yelverton@yahoo.com,6/14/1970,5/2/1999,110889,13%,34269
Corazon,Jeffries,F,corazon.jeffries@gmail.com,8/28/1975,9/7/2007,65785,11%,89042
Lauren,Menchaca,M,lauren.menchaca@yahoo.co.uk,5/5/1967,8/23/2009,138080,14%,25252
Rodney,Atwood,M,rodney.atwood@hotmail.com,5/22/1961,11/12/1997,60248,30%,78067
Eryn,Tedder,F,eryn.tedder@aol.com,6/13/1962,4/26/1989,186585,30%,82433
Lizette,Seidman,F,lizette.seidman@comcast.net,6/13/1976,2/4/2017,159051,15%,74565
Cecil,Charpentier,M,cecil.charpentier@aol.com,3/23/1967,11/13/2010,57230,27%,68019
Freddy,Schuster,M,freddy.schuster@gmail.com,11/6/1972,1/18/2015,65961,16%,35967
Haley,Frazier,F,haley.frazier@gmail.com,5/30/1983,12/22/2019,119955,2%,12176
Yang,Lehr,F,yang.lehr@charter.net,2/26/1971,9/24/2019,67418,6%,22663
Oswaldo,Debose,M,oswaldo.debose@yahoo.ca,2/10/1967,3/27/1992,126697,2%,96156
Exie,Anchondo,F,exie.anchondo@aol.com,12/16/1970,8/13/2012,193853,13%,41861
Garnet,Tone,F,garnet.tone@sbcglobal.net,6/29/1997,7/4/2020,47414,12%,25722
Edie,Spicer,F,edie.spicer@comcast.net,1/12/1988,9/24/2010,191642,15%,77581
Miss,Tartaglia,F,miss.tartaglia@yahoo.com,7/2/1987,1/26/2019,74222,22%,39730
Gaston,Abbott,M,gaston.abbott@msn.com,4/14/1984,11/12/2012,70689,0%,76064
Leif,Mccormick,M,leif.mccormick@aol.com,12/18/1988,4/11/2018,178661,9%,86446
Devora,Ybanez,F,devora.ybanez@shaw.ca,5/21/1963,1/2/2013,72628,9%,81147
Adriane,Tilghman,F,adriane.tilghman@gmail.com,10/20/1961,7/26/2003,127083,0%,31156
Marcel,Angulo,M,marcel.angulo@yahoo.co.in,2/25/1998,4/9/2020,64646,12%,92014
Hong,Clatterbuck,M,hong.clatterbuck@outlook.com,9/2/1981,10/8/2005,99173,17%,5487
Lou,Rushing,F,lou.rushing@gmail.com,11/24/1994,1/24/2020,163943,13%,85362
Fred,Fick,F,fred.fick@gmail.com,9/5/1989,8/13/2020,174586,6%,60130
Hobert,Tonkin,M,hobert.tonkin@yahoo.com,2/21/1974,8/13/2018,117803,13%,7825
Kim,Cawthon,M,kim.cawthon@gmail.com,7/28/1980,12/30/2005,192712,3%,30222
Ignacio,Rake,M,ignacio.rake@aol.com,5/17/1971,5/20/2005,124305,1%,75052
Kourtney,Llanas,F,kourtney.llanas@aol.com,10/16/1966,2/9/2012,90567,20%,50657
Brad,Hinman,M,brad.hinman@shaw.ca,6/28/1986,3/26/2018,58645,12%,72088
Isidro,Avallone,M,isidro.avallone@hotmail.com,4/3/1991,6/15/2012,63815,11%,45851
Devin,Roose,M,devin.roose@gmail.com,12/21/1981,3/31/2006,190094,3%,63956
Celesta,Bartos,F,celesta.bartos@msn.com,1/5/1994,12/7/2017,95898,8%,46383
Susanna,Landis,F,susanna.landis@gmail.com,10/4/1968,1/16/1991,114567,11%,67483
Clint,Bottorff,M,clint.bottorff@aol.com,6/7/1961,5/21/1985,40308,12%,59029
Terrance,Rosen,M,terrance.rosen@gmail.com,12/2/1984,3/18/2017,187841,10%,94235
Nga,Quin,F,nga.quin@aol.com,3/22/1968,5/6/2013,40978,23%,16554
Santos,Jewell,F,santos.jewell@gmail.com,3/6/1967,10/2/2005,184367,18%,94553
Neoma,Tobar,F,neoma.tobar@ibm.com,5/5/1995,1/30/2020,155795,24%,6077
Clement,Magnuson,M,clement.magnuson@microsoft.com,11/26/1982,3/5/2012,186735,5%,23107
Kena,Brose,F,kena.brose@msn.com,7/8/1991,7/21/2013,168240,19%,47875
Kerry,Blanding,M,kerry.blanding@shell.com,3/29/1965,2/1/1989,110748,8%,70421
Dwight,Gil,M,dwight.gil@aol.com,6/17/1983,8/1/2009,132157,11%,33815
Mark,Deshong,M,mark.deshong@gmail.com,8/6/1964,8/6/2011,71123,4%,37088
Jesenia,Huey,F,jesenia.huey@gmail.com,12/26/1961,9/7/2018,154644,0%,66966
Eryn,Capuano,F,eryn.capuano@hotmail.com,3/3/1981,5/1/2016,152824,10%,53080
Tyron,Ewing,M,tyron.ewing@gmail.com,10/8/1972,4/23/2002,42062,11%,31795
Florinda,Hause,F,florinda.hause@aol.com,2/18/1963,11/11/2000,113008,14%,53577
Tennie,Rivero,F,tennie.rivero@gmail.com,12/14/1982,10/24/2016,114186,4%,21716
Janean,Mcdonnell,F,janean.mcdonnell@apple.com,6/12/1970,7/4/2006,58611,29%,18349
Carlos,Hoefer,M,carlos.hoefer@earthlink.net,5/21/1991,1/23/2014,51458,30%,4472
Roosevelt,Mcgriff,M,roosevelt.mcgriff@gmail.com,8/21/1997,12/30/2019,144546,26%,14025
Thad,Manke,M,thad.manke@cox.net,9/10/1992,8/6/2019,40391,20%,68009
Benton,Maniscalco,M,benton.maniscalco@gmail.com,3/30/1962,3/15/2005,97533,18%,56353
Judson,Schwanke,M,judson.schwanke@yahoo.com,1/25/1990,8/6/2013,42073,22%,77962
Rozanne,Givens,F,rozanne.givens@hotmail.co.uk,10/17/1975,5/24/2020,50552,19%,67835
Jed,Cortez,M,jed.cortez@hotmail.com,10/28/1978,12/24/2012,88817,14%,16137
Mozella,Rye,F,mozella.rye@shaw.ca,12/26/1961,4/26/1985,52921,3%,7039
Todd,Perin,M,todd.perin@yahoo.com,8/30/1978,9/29/2004,73917,19%,22210
